provincia,nombre,direccion,tipo,latlon
madrid,Museo de Medios Acorazados,Base El Goloso,museo,"40.554969,-3.704463"
madrid,Parque y Centro de Abastecimiento de Material de Intendencia,Acuartelamiento San Cristobal (Villaverde),base/cuartel,"40.337982352693906, -3.6908053870801316"
madrid,Parque y Centro de Mantenimiento de Material de Transmisiones,"Acuartelamiento Zarco del Valle, Avenida del Palacio s/nº, 28048 El Pardo, Madrid",base/cuartel,"40.51417452945514, -3.7690969382365"
madrid,Parque y Centro de Mantenimiento de Sistemas Acorazados nº 1,Acuartelamiento San Cristobal (Villaverde),base/cuartel,"40.337982352693906, -3.6908053870801316"
madrid,Patronato de Huérfanos del Ejército de Tierra,Acuartelamiento de San Nicolás,otros,"40.41628842354479, -3.712068008220107"
madrid,Regimiento de Guerra Electrónica nº 31,"Acuartelamiento Zarco del Valle, Avenida del Palacio s/nº, 28048 El Pardo, Madrid",base/cuartel,"40.51417452945514, -3.7690969382365"
madrid,Regimiento de Transmisiones nº 22,"Acuartelamiento ""Capitán Sevillano"", Avda. Radiotelevisión,6, 28223 – Pozuelo de Alarcón, Madrid ESPAÑA",base/cuartel,"40.40738764885846, -3.785810651513384"
madrid,Regimiento de Artillería Antiaérea 71,"Acuartelamiento de Artillería de Fuencarral, Carretera de Fuencarral a Alcobendas, núm. 3, L10, 28049 Madrid",base/cuartel,"40.51480093491669, -3.6816402321422483"
madrid,Regimiento de Infantería 'Inmemorial del Rey' nº 1,"Palacio de Buenavista, Calle Prim, 6, 28004 Madrid",base/cuartel,"40.421842128058984, -3.6949630053141678"
madrid,Regimiento Acorazado 'Alcázar de Toledo' 61,Base El Goloso,base/cuartel,"40.554969,-3.704463"
madrid,Regimiento de Infantería 'Asturias' 31,Base El Goloso,base/cuartel,"40.554969,-3.704463"
madrid,Unidad de Apoyo Logistico Sanitario,Acuartelamiento General Arteaga,base/cuartel,"40.369513393817904, -3.7528281600372475"
madrid,Unidad de Transmisiones del Mando de Artillería Antiaérea,"Acuartelamiento Zarco del Valle, Avenida del Palacio s/nº, 28048 El Pardo, Madrid",base/cuartel,"40.51417452945514, -3.7690969382365"
madrid,Regimiento Acorazado Alcazar de Toledo 61,Base El Goloso,base/cuartel,"40.554969,-3.704463"
santa cruz de tenerife,Mando de Canarias,Palacio de Capitanía - Plaza de Weyler s/n - 38003 Santa Cruz de Tenerife,HQ,"28.467720905550024, -16.256326873452757"
santa cruz de tenerife,Regimiento de Infantería 'Tenerife' Nº 49,Acuartelamiento de Hoya Fría,base/cuartel,"28.43538543905, -16.289318989397508"
santa cruz de tenerife,Regimiento de Artillería nº 93,Acuartelamiento Los Rodeos,base/cuartel,"28.480463682537533, -16.35109702112114"
santa cruz de tenerife,Batallón de Helicópteros de Maniobra VI,Acuartelamiento Los Rodeos,base/cuartel,"28.480463682537533, -16.35109702112114"
santa cruz de tenerife,Batallón de Zapadores XVI,Avenida de Ingenieros S/N. - La Cuesta de Arguijón-C.Postal 38320-San Cristobal de La Laguna. - Santa Cruz de Tenerife,base/cuartel,"28.46587334344752, -16.29063916264615"
santa cruz de tenerife,Batallón de Zapadores XVI,Calle Coronel Roche S/N. - Base General Alemán Ramírez - Las Palmas de GC,base/cuartel,"28.156307194247574, -15.425936686023052"
santa cruz de tenerife,Quinta Subinspección General del Ejército (Canarias),Edificio del Gobierno Militar de Santa cruz de Tenerife - Avenida 25 de Julio nº 1 - 38004 - Santa Cruz de Tenerife.,HQ,"28.468239682035172, -16.256307905396145"
santa cruz de tenerife,Agrupación de Apoyo Logístico nº 81,Acuartelamiento Ofra Vistabella,base/cuartel,"28.464520976953118, -16.288037820501472"
santa cruz de tenerife,Centro de Historia y Cultura Militar,"C/ San Isidro, 2 - 38001 - Santa Cruz de Tenerife (Tenerife)",museo,"28.475465771407034, -16.247685799732565"
santa cruz de tenerife,Museo Histórico Militar de Canarias - Santa Cruz de Tenerife,"C/ San Isidro, 2 - 38001 - Santa Cruz de Tenerife (Tenerife)",museo,"28.475465771407034, -16.247685799732565"
las palmas,Brigada 'Canarias' XVI,Calle Coronel Roche S/N. - Base General Alemán Ramírez - Las Palmas de GC,base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Regimiento de Infantería 'Soria' nº 9,Acuartelamiento Puerto Rosario,base/cuartel,"28.50032594572312, -13.8555149775825"
las palmas,Regimiento de Infantería 'Canarias' nº 50,"Base ""General Alemán Ramírez""",base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Regimiento de Artillería Antiaérea nº 94,BASE GENERAL ALEMÁN RAMÍREZ,base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Batallón del Cuartel General de la Brigada 'Canarias' XVI,BASE GENERAL ALEMAN RAMIREZ,base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Grupo Logístico XVI,Base General Alemán Ramírez,base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Unidad de Apoyo a la Proyección 'Marques de Herrera',Acuartelamiento Marqués de Herrera,base/cuartel,"28.96863864441524, -13.56116678847014"
baleares,Cuartel General de la Comandancia General de Baleares,"Establecimiento ""Palacio de la Almudaina""",HQ,"39.56809555645755, 2.6474907757395916"
baleares,Regimiento de Infantería 'Palma' nº 47,Acuartelamiento Jaime II,base/cuartel,"39.57437561548152, 2.605428943244172"
baleares,Centro de Historia y Cultura Militar,07002 - Palma de Mallorca,museo,"39.57572404183759, 2.652535976311594"
baleares,"Museo Histórico Militar de San Carlos (Porto Pi, Palma de Mallorca)",07015 - Porto Pi (Palma de Mallorca),museo,"39.546668385132335, 2.624134326619567"
baleares,"Museo Histórico Militar de Menorca (Es Castell, Menorca)",07720 - Es Castell (Menorca),museo,"39.8795413147933, 4.290619874421492"
malaga,Comandancia Naval de Malaga,"Paseo de la Farola, 11, 29016 Málaga",HQ,"36.716735261344645, -4.412542204605293"
huelva,Comandancia Naval de Huelva,"Calle Sanlúcar de Barrameda, 2, 21001 Huelva",HQ,"37.254496922371985, -6.957749464050247"
cadiz,Comandancia Naval de Algeciras,"Av. Hispanidad, 8, 11207 Algeciras, Cádiz",HQ,"36.125711306422545, -5.442490043570996"
almeria,Comandancia Naval de Almería,"Parque de Nicolás Salmerón, 4, 04001 Almería",HQ,"36.83474908391002, -2.4638337860187454"
sevilla,Comandancia Naval de Sevilla,"Av. Molini, 2, 41012 Sevilla",HQ,"37.369223110436565, -5.989283870727669"
cadiz,Comandancia General de Infantería de Marina (COMGEIM),Base Carraca - San Fernando,HQ,"36.49485576653784, -6.181213509847615"
cadiz,Base Naval de Rota,base rota,base/cuartel,"36.63962803401912, -6.339268512937983"
cadiz,Estación Naval de San Fernando (Cádiz),San Fernando,base/cuartel,"36.49485576653784, -6.181213509847615"
cantabria,Comandancia Naval de Santander,"Calle Antonio López, 1, 39009 Santander, Cantabria",HQ,"43.4570097805531, -3.808874983012734"
barcelona,Comandancia Naval de Barcelona,"Carrer del Portal de Santa Madrona, s/n, 08001 Barcelona",HQ,"41.37667546512357, 2.176887622451064"
tarragona,Comandancia Naval de Tarragona,"Moll de la Costa, 43004 Tarragona",HQ,"41.10892960136625, 1.2503564372279234"
alicante,Comandancia Naval de Alicante,"Muelle de levante s/n, 03001 Alicante",HQ,"38.34338420017396, -0.4787652535685979"
valencia,Comandancia Naval de Valencia,"Ingeniero, Avinguda de I'Enginyer Manuel Soto, 17, 46024 Valencia",HQ,"39.4550438739613, -0.33024311313148547"
madrid,Escuela de Guerra Naval,"Calle Marqués de Torroja, 81, 28036 Madrid",formacion,"40.47098175126945, -3.6758430455676097"
madrid,AGRUMAD,"C. de Arturo Soria, 291, 28033 Madrid",base/cuartel,"40.47608298723069, -3.6690656417565197"
cadiz,Tercio de Armada (TEAR),"Paseo Capitán Conforto, 11100 San Fernando, Cádiz",base/cuartel,"36.47798047889582, -6.193284850672226"
a coruna,Fuerza de Protección de la Armada (FUPRO),Estación Naval de la Graña,base/cuartel,"43.474809849681996, -8.261865327451838"
murcia,Fuerza de Guerra Naval Especial (FGNE),Estación Naval de la Algameca en Cartagena,base/cuartel,"37.59052560521093, -1.0117312155800726"
cadiz,Estación Naval de Puntales,11011 Cádiz,base/cuartel,"36.50773608603167, -6.262188168044456"
pontevedra,Escuela Naval Militar,"Plaza España, s/n, 36920 Marín, Pontevedra",formacion,"42.39428113269491, -8.705219317369929"
baleares,Comandancia Naval de Palma de Mallorca,"Carretera Dic de l'Oest, 1, 07015 Palma, Illes Balears",HQ,"39.54907454221914, 2.6222601523993747"
baleares,Comandancia Naval de Ibiza,"Avinguda de Santa Eulària des Riu, 1014, 07800 Eivissa, Illes Balears",HQ,"38.916732331321995, 1.438382515531455"
baleares,Comandancia Naval de Mahón,mahon,HQ,"39.8947719318952, 4.2675162401348885"
las palmas,Comandancia Naval de Las Palmas de Gran Canaria,las palmas,HQ,"28.114164138757825, -15.418522635239816"
santa cruz de tenerife,Comandancia Naval de Santa Cruz de Tenerife,"Rambla de Santa Cruz, 167, 38001 Santa Cruz de Tenerife",HQ,"28.477329835189312, -16.245046971189463"
las palmas,Base Naval Las Palmas,"Calle León y Castillo, 310, 35006 Las Palmas de Gran Canaria, Las Palmas",base/cuartel,"28.134949675657552, -15.428538170099296"
baleares,Base Naval Mahon,Mahon,base/cuartel,"39.8947719318952, 4.2675162401348885"
valladolid,42 Grupo de Fuerzas Aéreas - Localización : Villanubla,"Lugar Base Aérea, s/n, 47620 Villanubla, Valladolid",base/cuartel,"41.7130638605345, -4.851618944819688"
madrid,43 Grupo de Fuerzas Aéreas - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
madrid,45 Grupo de Fuerzas Aéreas - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
madrid,47 Grupo Mixto de Fuerzas Aéreas - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
leon,Academia Básica del Aire (ABA) - Localización : Virgen del Camino,"24198 La Virgen del Camino, León",formacion,"42.58501550842654, -5.6502550271629035"
murcia,Academia General del Aire (AGA) - Localización : Santiago de la Ribera,"Calle Coronel López Peña, s/n, 30730 Santiago de la Ribera, Murcia",formacion,"37.793171766767024, -0.8054397419743642"
navarra,Acuartelamiento Aéreo Bardenas - Localización : Tudela,Bardenas reales,base/cuartel,"42.18667519706419, -1.4827477960160391"
las palmas,Aeródromo Militar de Lanzarote - Localización : San Bartolomé (Lanzarote),base aerea lanzarote,otros,"28.94596275010742, -13.611773057532165"
baleares,Aerodromo Militar de Pollensa - Localización : Port de Pollensa,,otros,"39.90814713834145, 3.102255158446431"
a coruna,Aeródromo Militar de Santiago - Localización : Santiago de Compostela,,otros,"42.90088120420878, -8.421826515813475"
madrid,Agrupación de la Base Aérea de Cuatro Vientos - Localización : Madrid,,base/cuartel,"40.377072078619264, -3.7844087392368415"
madrid,Agrupación de la Base Aérea de Torrejón - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
zaragoza,Agrupación de la Base Aérea de Zaragoza - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",base/cuartel,"41.67035648252053, -1.0168903317862037"
madrid,Agrupación del Acuartelamiento Aéreo Getafe - Localización : Getafe,Base Aerea Getafe,base/cuartel,"40.30614022895483, -3.7200526036119124"
sevilla,Agrupación del Acuartelamiento Aéreo Tablada - Localización : Tablada,Base Aerea de Tablada,base/cuartel,"37.367059765836686, -6.003857673144269"
madrid,Agrupación del Cuartel General del Ejército del Aire (ACGEA) - Localización : Madrid,moncloa,HQ,"40.433900710326476, -3.7192571845097993"
sevilla,Ala 11 - Localización : Morón de la Frontera,Base Aerea de Moron,base/cuartel,"37.156104657352074, -5.606223088114158"
madrid,Ala 12 - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
albacete,Ala 14 - Localización : Albacete,los llanos,base/cuartel,"38.95485848651085, -1.871741467879197"
zaragoza,Ala 15 - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",base/cuartel,"41.67035648252053, -1.0168903317862037"
badajoz,Ala 23 - Localización : Talavera la Real,,base/cuartel,"38.881988357149744, -6.815269887169672"
zaragoza,Ala 31 - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",base/cuartel,"41.67035648252053, -1.0168903317862037"
madrid,Ala 35 - Localización : Getafe,Base Aerea Getafe,base/cuartel,"40.30614022895483, -3.7200526036119124"
valladolid,Ala 37 - Localización : Villanubla,"Lugar Base Aérea, s/n, 47620 Villanubla, Valladolid",base/cuartel,"41.7130638605345, -4.851618944819688"
las palmas,Ala 46 - Localización : Telde,gando,base/cuartel,"27.936279498531526, -15.375004520890824"
madrid,Ala 48 (803 y 402 Escuadrón de Fuerzas Aéreas) - Localización : Madrid / Getafe,Base Aerea Getafe,base/cuartel,"40.30614022895483, -3.7200526036119124"
baleares,Ala 49 / RCC Palma - Localización : Palma de Mallorca,base aerea son san juan,base/cuartel,"39.56418053320486, 2.748552108009161"
granada,Ala 78 - Localización : Armilla,"Calle Tierno Galván, 36, 18100 Armilla, Granada",base/cuartel,"37.136066890798304, -3.6311399093658125"
malaga,Base Aérea de Málaga - Localización : Málaga,"Av. de Velázquez, 404, 29004 Málaga",base/cuartel,"36.6605836716643, -4.484953024796422"
madrid,Centro Cartográfico y Fotográfico (CECAF) - Localización : Madrid *,"Calle Darío Gazapo, 8, 28024 Madrid",otros,"40.39258990480969, -3.7784641888618062"
las palmas,Centro Coordinador de Salvamento de Canarias (RCC Canarias) - Localización : Gando,gando,otros,"27.936279498531526, -15.375004520890824"
madrid,Centro Coordinador de Salvamento de Madrid (RCC Madrid) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
madrid,Centro de Instrucción de Medicina Aeroespacial (CIMA) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
madrid,Centro de Sistemas Aeroespaciales de Observación (CESAEROB) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
madrid,Centro Logístico de Armamento y Experimentación (CLAEX) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
madrid,Centro Logístico de Intendencia (CLOIN) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
madrid,Centro Logístico de Material de Apoyo (CLOMA) - Localización : Getafe *,Base Aerea Getafe,base/cuartel,"40.30614022895483, -3.7200526036119124"
madrid,Centro Logístico de Transmisiones (CLOTRA) - Localización : Getafe,Base Aerea Getafe,base/cuartel,"40.30614022895483, -3.7200526036119124"
zaragoza,Componente Nacional del Centro Europeo de Transporte Aereo Táctico (CN-ETAC) - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",base/cuartel,"41.67035648252053, -1.0168903317862037"
albacete,Componente Nacional Tactical Leadership Programme (CN-TLP) - Localización : Albacete,los llanos,base/cuartel,"38.95485848651085, -1.871741467879197"
zaragoza,Enfermería del Mando Aéreo General (Zaragoza) - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",base/cuartel,"41.67035648252053, -1.0168903317862037"
zaragoza,Escuadrón de Apoyo al Despliegue Aéreo (EADA) - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",base/cuartel,"41.67035648252053, -1.0168903317862037"
madrid,Escuadrón de Enseñanza de Automoción (EEAUTO) - Localización : Getafe,Base Aerea Getafe,base/cuartel,"40.30614022895483, -3.7200526036119124"
zaragoza,Escuadrón de Vigilancia Aérea nº1 (EVA 1) y Acuartelamiento Aéreo El Frasno - Localización : El Frasno,"50320 El Frasno, Zaragoza",base/cuartel,"41.40729088561954, -1.4951420837183151"
a coruna,Escuadrón de Vigilancia Aérea nº10 (EVA 10) y Acuartelamiento Aéreo Barbanza - Localización : Noya,,base/cuartel,"42.7218343012606, -8.92186540549903"
cadiz,Escuadrón de Vigilancia Aérea nº11 (EVA 11) y Acuartelamiento Aéreo Alcalá de los Gazules - Localización : Alcalá de los Gazules,,base/cuartel,"36.48060793374913, -5.601419338470402"
burgos,Escuadrón de Vigilancia Aérea nº12 (EVA 12) y Acuartelamiento Aéreo Espinosa de los Monteros - Localización : Espinosa de los Monteros,Picón del Fraile,base/cuartel,"43.1798529337151, -3.649461458365994"
murcia,Escuadrón de Vigilancia Aérea nº13 (EVA 13) y Acuartelamiento Aéreo Sierra Espuña - Localización : Totana,,base/cuartel,"37.86347212200949, -1.5758364135626794"
toledo,Escuadrón de Vigilancia Aérea nº2 (EVA 2) y Acuartelamiento Aéreo Villatobas - Localización : Villatobas,,base/cuartel,"39.88749, -3.30324"
las palmas,Escuadrón de Vigilancia Aérea nº21 (EVA 21) - Localización : Vega de San Mateo,,base/cuartel,"27.96308, -15.57159"
las palmas,Escuadrón de Vigilancia Aérea nº22 (EVA 22) - Localización : Haría (Lanzarote),,base/cuartel,"29.12016, -13.52091"
sevilla,Escuadrón de Vigilancia Aérea nº3 (EVA 3) y Acuartelamiento Aéreo Constantina - Localización : Constantina,,base/cuartel,"37.92483, -5.60066"
girona,Escuadrón de Vigilancia Aérea nº4 (EVA 4) y Acuartelamiento Aéreo Rosas - Localización : Rosas,,base/cuartel,"42.28228, 3.24220"
alicante,Escuadrón de Vigilancia Aérea nº5 (EVA 5) y Acuartelamiento Aéreo Aitana - Localización : Alcoy,,base/cuartel,"38.64965, -0.26690"
baleares,Escuadrón de Vigilancia Aérea nº7 (EVA 7) y Acuartelamiento Aéreo Puig Mayor - Localización : Sóller,,base/cuartel,"39.80761, 2.79382"
granada,Escuadrón de Vigilancia Aérea nº9 (EVA 9) y Acuartelamiento Aéreo Motril - Localización : Motril,,base/cuartel,"36.74365, -3.41685"
murcia,Escuadrón de Zapadores Paracaidistas (EZAPAC) - Localización : Alcantarilla,"Av. de Lorca, S/N, 30820 Sangonera la Seca, Murcia",base/cuartel,"37.95834692604764, -1.2299901584807769"
madrid,Escuela de Técnicas Aeronáuticas (ESTAER) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
madrid,"Escuela de Técnicas de Mando, Control y Telecomunicaciones (EMACOT) - Localización : Madrid",,formacion,"40.36819216263482, -3.803434054993628"
zaragoza,"Escuela de Técnicas de Seguridad, Defensa y Apoyo (ETESDA) - Localización : Zaragoza",,formacion,"41.65483276242518, -1.0537682854434556"
murcia,Escuela Militar de Paracaidismo Méndez Parada - Localización : Sangonera la Seca,,formacion,"37.959143090160296, -1.2269539959343028"
madrid,Grupo Central de Mando y Control (GRUCEMAC) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
las palmas,Grupo de Alerta y Control (GRUALERCON) - Localización : Gando,,base/cuartel,"27.936279498531526, -15.375004520890824"
madrid,Grupo de Automóviles (GRUAUT) - Localización : Getafe,Base Aerea Getafe,base/cuartel,"40.30614022895483, -3.7200526036119124"
salamanca,Grupo de Escuelas de Matacán (GRUEMA) - Localización : Villagonzalo de Tormes,Base Aerea Matacan,base/cuartel,"40.94622250697004, -5.490288000085203"
las palmas,Grupo del Cuartel General del Mando Aéreo de Canarias - Localización : Las Palmas de Gran Canaria,"Calle Alejandro Hidalgo, 24, 35005 Las Palmas de Gran Canaria, Las Palmas",HQ,"28.1215469415647, -15.430775211642523"
madrid,Grupo de Transmisiones (GRUTRA) - Localización : Getafe,Base Aerea Getafe,base/cuartel,"40.30614022895483, -3.7200526036119124"
sevilla,Grupo Móvil de Control Aéreo (GRUMOCA) - Localización : Sevilla,sevilla,HQ,"37.36696557835127, -6.003767389242613"
zaragoza,Grupo Norte de Mando y Control (GRUNOMAC) - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",HQ,"41.67035648252053, -1.0168903317862037"
madrid,Jefatura del Sistema de Mando y Control (JSMC) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
zaragoza,Jefatura de Movilidad Aérea (JMOVA) - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",HQ,"41.67035648252053, -1.0168903317862037"
albacete,Maestranza Aérea de Albacete (MAESAL) - Localización : Albacete,"Carretera de las Peñas de San Pedro, km 3.8, 02071 Albacete",base/cuartel,"38.953064733867514, -1.865186671022653"
madrid,Maestranza Aérea de Madrid (MAESMA) - Localización : Madrid,,base/cuartel,"40.375311200250756, -3.787982571188826"
sevilla,Maestranza Aérea de Sevilla (MAESE) - Localización : Tablada,Base Aerea de Tablada,base/cuartel,"37.367059765836686, -6.003857673144269"
las palmas,Mando Aéreo de Canarias (MACAN) - Localización : Las Palmas de Gran Canaria,"Calle Alejandro Hidalgo, 24, 35005 Las Palmas de Gran Canaria, Las Palmas",HQ,"28.1215469415647, -15.430775211642523"
madrid,Mando Aéreo de Combate (MACOM) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,HQ,"40.47310167589028, -3.447138858459242"
madrid,Mando Aéreo General (MAGEN) - Localización : Madrid,moncloa,HQ,"40.433900710326476, -3.7192571845097993"
madrid,Mando de Apoyo Logístico (MALOG) - Localización : Madrid,getafe,HQ,"40.30771488650451, -3.7193612410661485"
sevilla,Segundo Escuadrón de Apoyo al Despliegue Aéreo (SEADA) - Localización : Morón de la Frontera,Base Aerea de Moron,HQ,"41.67035648252053, -1.0168903317862037"
madrid,Unidad Médica Aérea de Apoyo al Despliegue (UMAAD-Madrid) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,otros,"40.47310167589028, -3.447138858459242"
zaragoza,Unidad Médica Aérea de Apoyo al Despliegue (UMAAD-Zaragoza) - Localización : Zaragoza,"Carr. del Aeropuerto, s/n, 50071 Zaragoza",otros,"41.67035648252053, -1.0168903317862037"
madrid,Unidad Médica de Aeroevacuación (UMAER) - Localización : Torrejón de Ardoz,Base Aerea de Torrejon de Ardoz,base/cuartel,"40.47310167589028, -3.447138858459242"
